"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","23.02.2015 13:00 - 23.02.2015 13:30 (UTC)","N/A","n/e","n/e","8674","16126","0","n/e","n/e","n/e","247","","585","n/e","n/e","7807","75","n/e","1660","n/e","3348","4648"
"United Kingdom (UK)","23.02.2015 13:30 - 23.02.2015 14:00 (UTC)","N/A","n/e","n/e","8438","16191","0","n/e","n/e","n/e","305","","606","n/e","n/e","7803","74","n/e","1588","n/e","3350","4608"
"United Kingdom (UK)","23.02.2015 14:00 - 23.02.2015 14:30 (UTC)","N/A","n/e","n/e","8621","16144","0","n/e","n/e","n/e","295","","593","n/e","n/e","7806","73","n/e","1516","n/e","3388","4462"
"United Kingdom (UK)","23.02.2015 14:30 - 23.02.2015 15:00 (UTC)","N/A","n/e","n/e","8492","16078","0","n/e","n/e","n/e","294","","594","n/e","n/e","7802","74","n/e","1390","n/e","3384","4464"
"United Kingdom (UK)","23.02.2015 15:00 - 23.02.2015 15:30 (UTC)","N/A","n/e","n/e","8263","16073","0","n/e","n/e","n/e","293","","603","n/e","n/e","7805","75","n/e","1263","n/e","3413","4556"
"United Kingdom (UK)","23.02.2015 15:30 - 23.02.2015 16:00 (UTC)","N/A","n/e","n/e","8857","16128","0","n/e","n/e","n/e","392","","632","n/e","n/e","7794","75","n/e","1077","n/e","3385","4478"
"United Kingdom (UK)","23.02.2015 16:00 - 23.02.2015 16:30 (UTC)","N/A","n/e","n/e","10261","16104","0","n/e","n/e","n/e","323","","666","n/e","n/e","7798","75","n/e","890","n/e","3362","4448"
"United Kingdom (UK)","23.02.2015 16:30 - 23.02.2015 17:00 (UTC)","N/A","n/e","n/e","11696","16234","0","n/e","n/e","n/e","294","","664","n/e","n/e","7798","75","n/e","653","n/e","3386","4415"
"United Kingdom (UK)","23.02.2015 17:00 - 23.02.2015 17:30 (UTC)","N/A","n/e","n/e","12885","16379","0","n/e","n/e","n/e","295","","686","n/e","n/e","7801","75","n/e","416","n/e","3374","4348"
"United Kingdom (UK)","23.02.2015 17:30 - 23.02.2015 18:00 (UTC)","N/A","n/e","n/e","14029","16514","0","n/e","n/e","n/e","1072","","687","n/e","n/e","7798","75","n/e","0","n/e","3372","4339"
