"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"04.01.2018 11:00 - 04.01.2018 11:30","69.70","69.70","809","","Final"
"04.01.2018 11:30 - 04.01.2018 12:00","69.49","69.49","514","","Final"
"04.01.2018 12:00 - 04.01.2018 12:30","63.87","63.87","73","","Final"
"04.01.2018 12:30 - 04.01.2018 13:00","36.25","36.25","348","","Final"
"04.01.2018 13:00 - 04.01.2018 13:30","36.39","36.39","210","","Final"
"04.01.2018 13:30 - 04.01.2018 14:00","37.29","37.29","231","","Final"
"04.01.2018 14:00 - 04.01.2018 14:30","39.18","39.18","8","","Final"
"04.01.2018 14:30 - 04.01.2018 15:00","39.18","39.18","52","","Final"
"04.01.2018 15:00 - 04.01.2018 15:30","38.55","38.55","597","","Final"
"04.01.2018 15:30 - 04.01.2018 16:00","38.55","38.55","796","","Final"
"04.01.2018 16:00 - 04.01.2018 16:30","38.55","38.55","749","","Final"
"04.01.2018 16:30 - 04.01.2018 17:00","39.05","39.05","195","","Final"
"04.01.2018 17:00 - 04.01.2018 17:30","101.97","101.97","55","","Final"
"04.01.2018 17:30 - 04.01.2018 18:00","101.97","101.97","98","","Final"
"04.01.2018 18:00 - 04.01.2018 18:30","101.97","101.97","84","","Final"
"04.01.2018 18:30 - 04.01.2018 19:00","38.59","38.59","189","","Final"
"04.01.2018 19:00 - 04.01.2018 19:30","38.57","38.57","304","","Final"
"04.01.2018 19:30 - 04.01.2018 20:00","39.48","39.48","61","","Final"
"04.01.2018 20:00 - 04.01.2018 20:30","39.17","39.17","142","","Final"
"04.01.2018 20:30 - 04.01.2018 21:00","38.91","38.91","154","","Final"
"04.01.2018 21:00 - 04.01.2018 21:30","61.00","61.00","57","","Final"
"04.01.2018 21:30 - 04.01.2018 22:00","38.60","38.60","246","","Final"
"04.01.2018 22:00 - 04.01.2018 22:30","38.54","38.54","218","","Final"
"04.01.2018 22:30 - 04.01.2018 23:00","37.17","37.17","110","","Final"
"04.01.2018 23:00 - 04.01.2018 23:30","34.67","34.67","271","","Final"
"04.01.2018 23:30 - 05.01.2018 00:00","61.00","61.00","118","","Final"
"05.01.2018 00:00 - 05.01.2018 00:30","61.00","61.00","113","","Final"
"05.01.2018 00:30 - 05.01.2018 01:00","61.00","61.00","67","","Final"
"05.01.2018 01:00 - 05.01.2018 01:30","49.72","49.72","13","","Final"
"05.01.2018 01:30 - 05.01.2018 02:00","38.60","38.60","65","","Final"
"05.01.2018 02:00 - 05.01.2018 02:30","38.56","38.56","83","","Final"
"05.01.2018 02:30 - 05.01.2018 03:00","38.60","38.60","133","","Final"
"05.01.2018 03:00 - 05.01.2018 03:30","38.60","38.60","207","","Final"
"05.01.2018 03:30 - 05.01.2018 04:00","38.60","38.60","188","","Final"
"05.01.2018 04:00 - 05.01.2018 04:30","38.65","38.65","59","","Final"
"05.01.2018 04:30 - 05.01.2018 05:00","44.10","44.10","40","","Final"
"05.01.2018 05:00 - 05.01.2018 05:30","59.49","59.49","23","","Final"
"05.01.2018 05:30 - 05.01.2018 06:00","37.23","37.23","280","","Final"
"05.01.2018 06:00 - 05.01.2018 06:30","31.99","31.99","695","","Final"
"05.01.2018 06:30 - 05.01.2018 07:00","29.20","29.20","918","","Final"
"05.01.2018 07:00 - 05.01.2018 07:30","27.58","27.58","1573","","Final"
"05.01.2018 07:30 - 05.01.2018 08:00","38.25","38.25","1199","","Final"
"05.01.2018 08:00 - 05.01.2018 08:30","40.06","40.06","661","","Final"
"05.01.2018 08:30 - 05.01.2018 09:00","39.33","39.33","421","","Final"
"05.01.2018 09:00 - 05.01.2018 09:30","42.39","42.39","7","","Final"
"05.01.2018 09:30 - 05.01.2018 10:00","40.17","40.17","81","","Final"
"05.01.2018 10:00 - 05.01.2018 10:30","38.17","38.17","305","","Final"
"05.01.2018 10:30 - 05.01.2018 11:00","32.11","32.11","271","","Final"
"05.01.2018 11:00 - 05.01.2018 11:30","40.17","40.17","274","","Final"
"05.01.2018 11:30 - 05.01.2018 12:00","38.15","38.15","235","","Final"
"05.01.2018 12:00 - 05.01.2018 12:30","60.00","60.00","16","","Final"
"05.01.2018 12:30 - 05.01.2018 13:00","42.40","42.40","49","","Final"
"05.01.2018 13:00 - 05.01.2018 13:30","67.28","67.28","19","","Final"
"05.01.2018 13:30 - 05.01.2018 14:00","71.00","71.00","71","","Final"
"05.01.2018 14:00 - 05.01.2018 14:30","89.11","89.11","91","","Final"
"05.01.2018 14:30 - 05.01.2018 15:00","42.25","42.25","114","","Final"
"05.01.2018 15:00 - 05.01.2018 15:30","41.01","41.01","424","","Final"
"05.01.2018 15:30 - 05.01.2018 16:00","43.15","43.15","33","","Final"
"05.01.2018 16:00 - 05.01.2018 16:30","141.45","141.45","356","","Final"
"05.01.2018 16:30 - 05.01.2018 17:00","179.45","179.45","687","","Final"
"05.01.2018 17:00 - 05.01.2018 17:30","188.45","188.45","842","","Final"
"05.01.2018 17:30 - 05.01.2018 18:00","179.45","179.45","541","","Final"
"05.01.2018 18:00 - 05.01.2018 18:30","64.45","64.45","47","","Final"
"05.01.2018 18:30 - 05.01.2018 19:00","40.24","40.24","259","","Final"
