"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","24.02.2019 19:00 - 24.02.2019 19:30 (CET)","1607","n/e","n/e","19358","590","3","n/e","n/e","n/e","1739","","644","n/e","n/e","6437","76","n/e","8","n/e","707","3559"
"United Kingdom (UK)","24.02.2019 19:30 - 24.02.2019 20:00 (CET)","1759","n/e","n/e","19276","581","6","n/e","n/e","n/e","1368","","575","n/e","n/e","6445","77","n/e","5","n/e","652","3530"
"United Kingdom (UK)","24.02.2019 20:00 - 24.02.2019 20:30 (CET)","1974","n/e","n/e","19154","571","6","n/e","n/e","n/e","857","","574","n/e","n/e","6436","75","n/e","5","n/e","696","3650"
"United Kingdom (UK)","24.02.2019 20:30 - 24.02.2019 21:00 (CET)","1980","n/e","n/e","18894","564","1","n/e","n/e","n/e","480","","518","n/e","n/e","6440","73","n/e","0","n/e","698","3763"
"United Kingdom (UK)","24.02.2019 21:00 - 24.02.2019 21:30 (CET)","1979","n/e","n/e","18360","538","0","n/e","n/e","n/e","576","","492","n/e","n/e","6442","68","n/e","0","n/e","658","3693"
"United Kingdom (UK)","24.02.2019 21:30 - 24.02.2019 22:00 (CET)","1976","n/e","n/e","17904","59","0","n/e","n/e","n/e","148","","481","n/e","n/e","6441","67","n/e","0","n/e","727","3703"
"United Kingdom (UK)","24.02.2019 22:00 - 24.02.2019 22:30 (CET)","1965","n/e","n/e","16783","47","0","n/e","n/e","n/e","375","","408","n/e","n/e","6435","67","n/e","0","n/e","756","3702"
"United Kingdom (UK)","24.02.2019 22:30 - 24.02.2019 23:00 (CET)","1986","n/e","n/e","15104","47","0","n/e","n/e","n/e","203","","365","n/e","n/e","6432","68","n/e","0","n/e","47","1597"
"United Kingdom (UK)","24.02.2019 23:00 - 24.02.2019 23:30 (CET)","1986","n/e","n/e","13911","47","0","n/e","n/e","n/e","160","","231","n/e","n/e","6434","71","n/e","0","n/e","639","3774"
"United Kingdom (UK)","24.02.2019 23:30 - 25.02.2019 00:00 (CET)","1982","n/e","n/e","12794","47","0","n/e","n/e","n/e","156","","272","n/e","n/e","6433","70","n/e","0","n/e","630","3536"
"United Kingdom (UK)","25.02.2019 00:00 - 25.02.2019 00:30 (CET)","1960","n/e","n/e","11668","47","0","n/e","n/e","n/e","58","","268","n/e","n/e","6429","72","n/e","0","n/e","718","3240"
"United Kingdom (UK)","25.02.2019 00:30 - 25.02.2019 01:00 (CET)","1877","n/e","n/e","11359","47","0","n/e","n/e","n/e","0","","268","n/e","n/e","6437","72","n/e","0","n/e","781","3076"
"United Kingdom (UK)","25.02.2019 01:00 - 25.02.2019 01:30 (CET)","1903","n/e","n/e","11171","47","0","n/e","n/e","n/e","0","","263","n/e","n/e","6431","72","n/e","0","n/e","702","2948"
"United Kingdom (UK)","25.02.2019 01:30 - 25.02.2019 02:00 (CET)","1911","n/e","n/e","11745","47","0","n/e","n/e","n/e","0","","260","n/e","n/e","6432","72","n/e","0","n/e","657","2913"
"United Kingdom (UK)","25.02.2019 02:00 - 25.02.2019 02:30 (CET)","1903","n/e","n/e","11733","47","0","n/e","n/e","n/e","0","","254","n/e","n/e","6436","71","n/e","0","n/e","712","2932"
"United Kingdom (UK)","25.02.2019 02:30 - 25.02.2019 03:00 (CET)","1864","n/e","n/e","11552","47","0","n/e","n/e","n/e","0","","219","n/e","n/e","6429","70","n/e","0","n/e","626","2809"
"United Kingdom (UK)","25.02.2019 03:00 - 25.02.2019 03:30 (CET)","1876","n/e","n/e","11516","47","0","n/e","n/e","n/e","0","","220","n/e","n/e","6427","70","n/e","0","n/e","610","2722"
"United Kingdom (UK)","25.02.2019 03:30 - 25.02.2019 04:00 (CET)","1907","n/e","n/e","11844","47","0","n/e","n/e","n/e","0","","217","n/e","n/e","6425","67","n/e","0","n/e","570","2425"
"United Kingdom (UK)","25.02.2019 04:00 - 25.02.2019 04:30 (CET)","1917","n/e","n/e","11688","47","0","n/e","n/e","n/e","0","","218","n/e","n/e","6427","68","n/e","0","n/e","456","2395"
"United Kingdom (UK)","25.02.2019 04:30 - 25.02.2019 05:00 (CET)","1981","n/e","n/e","11337","47","0","n/e","n/e","n/e","0","","216","n/e","n/e","6431","67","n/e","0","n/e","408","2437"
"United Kingdom (UK)","25.02.2019 05:00 - 25.02.2019 05:30 (CET)","1988","n/e","n/e","11573","47","0","n/e","n/e","n/e","0","","216","n/e","n/e","6434","70","n/e","0","n/e","329","2264"
"United Kingdom (UK)","25.02.2019 05:30 - 25.02.2019 06:00 (CET)","1988","n/e","n/e","11861","47","0","n/e","n/e","n/e","0","","217","n/e","n/e","6426","71","n/e","0","n/e","16","1195"
"United Kingdom (UK)","25.02.2019 06:00 - 25.02.2019 06:30 (CET)","1985","n/e","n/e","12253","52","0","n/e","n/e","n/e","149","","325","n/e","n/e","6431","71","n/e","15","n/e","441","1999"
"United Kingdom (UK)","25.02.2019 06:30 - 25.02.2019 07:00 (CET)","1981","n/e","n/e","13509","142","0","n/e","n/e","n/e","199","","342","n/e","n/e","6435","71","n/e","0","n/e","430","2027"
"United Kingdom (UK)","25.02.2019 07:00 - 25.02.2019 07:30 (CET)","1848","n/e","n/e","14880","448","0","n/e","n/e","n/e","1","","382","n/e","n/e","6430","71","n/e","0","n/e","15","1238"
